ID_0,NAME_0,ID_1,NAME_1,MACRO_TAXO,ST_TYPE,BUILDINGS,TOTAL_AREA_SQM
THA,Thailand,AREA # TH57,Chiang Mai,CR/LWAL,C3,80849,28888014.95007951
THA,Thailand,AREA # TH57,Chiang Mai,W,W1,5366,973739.130111438
THA,Thailand,AREA # TH57,Chiang Mai,CR/LFINF,C1,4163,1650569.247201653
THA,Thailand,AREA # TH57,Chiang Mai,S,S3,3388,857790.162155259
THA,Thailand,AREA # TH57,Chiang Mai,CR/LDUAL,C2,947,4772965.20975845
THA,Thailand,AREA # TH57,Chiang Mai,S,S1,579,246772.854699343
THA,Thailand,AREA # TH57,Chiang Mai,C3+W1,C3+W1,398,87316.92898267
THA,Thailand,AREA # TH57,Chiang Mai,W,W2,349,249135.7322918
THA,Thailand,AREA # TH57,Chiang Mai,S,S5,180,80068.70071943
THA,Thailand,AREA # TH57,Chiang Mai,C4+C2,C4+C2,92,553814.9930446
THA,Thailand,AREA # TH57,Chiang Mai,C4,C4,60,458044.277686
THA,Thailand,AREA # TH57,Chiang Mai,C3+W,C3+W,59,10700.07795716
THA,Thailand,AREA # TH57,Chiang Mai,C3+W2,C3+W2,58,15779.64099632
THA,Thailand,AREA # TH57,Chiang Mai,C1+W1,C1+W1,24,5506.77739304
THA,Thailand,AREA # TH57,Chiang Mai,MH,MH,18,1172.4330569200001
THA,Thailand,AREA # TH57,Chiang Mai,S,S2,14,9029.86384891
THA,Thailand,AREA # TH57,Chiang Mai,PCR,PC1,13,3775.90515155
THA,Thailand,AREA # TH57,Chiang Mai,C3+C2,C3+C2,11,41472.247707
THA,Thailand,AREA # TH57,Chiang Mai,C3+S1,C3+S1,10,17163.04091289
THA,Thailand,AREA # TH57,Chiang Mai,MUR,URM,10,1265.6290137199999
THA,Thailand,AREA # TH57,Chiang Mai,C2+C4,C2+C4,9,26925.5822768
THA,Thailand,AREA # TH57,Chiang Mai,C3+S3,C3+S3,8,3267.29654811
THA,Thailand,AREA # TH57,Chiang Mai,C1+C3,C1+C3,5,454.88183614999997
THA,Thailand,AREA # TH57,Chiang Mai,S,S4,4,2204.08171371
THA,Thailand,AREA # TH57,Chiang Mai,C3+S2,C3+S2,3,311.79945948
THA,Thailand,AREA # TH57,Chiang Mai,C1+S2,C1+S2,3,1747.3801278
THA,Thailand,AREA # TH57,Chiang Mai,C1+S1,C1+S1,2,153.21892734
THA,Thailand,AREA # TH57,Chiang Mai,C3+C1,C3+C1,2,624.0402567799999
THA,Thailand,AREA # TH57,Chiang Mai,S1+W1,S1+W1,2,239.0819366
THA,Thailand,AREA # TH57,Chiang Mai,S3+C3,S3+C3,2,292.55502167
THA,Thailand,AREA # TH57,Chiang Mai,C1+W,C1+W,2,193.06039767
THA,Thailand,AREA # TH57,Chiang Mai,C3+C4,C3+C4,1,7243.968371
THA,Thailand,AREA # TH57,Chiang Mai,C2+W1,C2+W1,1,27.88112406
THA,Thailand,AREA # TH57,Chiang Mai,S3+W,S3+W,1,58.07851797
THA,Thailand,AREA # TH57,Chiang Mai,S4+W,S4+W,1,37.84992807
THA,Thailand,AREA # TH57,Chiang Mai,W1+S1,W1+S1,1,77.25392492
