ID_0,NAME_0,ID_1,NAME_1,MACRO_TAXO,ST_TYPE,BUILDINGS,TOTAL_AREA_SQM
THA,Thailand,AREA # TH57,Chiang Mai,CR/LFINF,C3,80721,28740138.78271491
THA,Thailand,AREA # TH57,Chiang Mai,W,W1,5177,1112493.593676368
THA,Thailand,AREA # TH57,Chiang Mai,CR/MF,C1,4156,1645139.751834533
THA,Thailand,AREA # TH57,Chiang Mai,S/LF,S3,3380,845002.085762149
THA,Thailand,AREA # TH57,Chiang Mai,CR/LWAL,C2,945,4701179.97523815
THA,Thailand,AREA # TH57,Chiang Mai,S/MF,S1,578,243954.577001143
THA,Thailand,AREA # TH57,Chiang Mai,C3+W1,C3+W1,397,86893.16085855
THA,Thailand,AREA # TH57,Chiang Mai,W,W,319,30659.23318224
THA,Thailand,AREA # TH57,Chiang Mai,W,W2,211,75210.36360575
THA,Thailand,AREA # TH57,Chiang Mai,S/LFINF,S5,181,80258.41176162
THA,Thailand,AREA # TH57,Chiang Mai,C4+C2,C4+C2,93,560664.0194886
THA,Thailand,AREA # TH57,Chiang Mai,C3+W,C3+W,60,11123.84608106
THA,Thailand,AREA # TH57,Chiang Mai,CR/LFINF+FS,C4,60,458044.277686
THA,Thailand,AREA # TH57,Chiang Mai,C3+W2,C3+W2,58,15779.64099632
THA,Thailand,AREA # TH57,Chiang Mai,C1+W1,C1+W1,24,5506.77739304
THA,Thailand,AREA # TH57,Chiang Mai,MH,MH,18,1172.43305682
THA,Thailand,AREA # TH57,Chiang Mai,S/BF,S2,14,9029.86384891
THA,Thailand,AREA # TH57,Chiang Mai,PCR/LWAL,PC1,13,3775.90515155
THA,Thailand,AREA # TH57,Chiang Mai,C3+C2,C3+C2,11,41472.247707
THA,Thailand,AREA # TH57,Chiang Mai,C3+S1,C3+S1,10,17163.04091289
THA,Thailand,AREA # TH57,Chiang Mai,MUR/LWAL,URM,10,1265.6290137199999
THA,Thailand,AREA # TH57,Chiang Mai,C2+C4,C2+C4,9,26925.5822768
THA,Thailand,AREA # TH57,Chiang Mai,C3+S3,C3+S3,8,3267.29654791
THA,Thailand,AREA # TH57,Chiang Mai,C1+C3,C1+C3,5,454.88183614999997
THA,Thailand,AREA # TH57,Chiang Mai,S/LWAL,S4,4,2204.08171371
THA,Thailand,AREA # TH57,Chiang Mai,C3+S2,C3+S2,3,311.79945948
THA,Thailand,AREA # TH57,Chiang Mai,C1+S2,C1+S2,3,1747.3801278
THA,Thailand,AREA # TH57,Chiang Mai,C1+S1,C1+S1,2,153.21892734
THA,Thailand,AREA # TH57,Chiang Mai,C3+C1,C3+C1,2,624.0402567799999
THA,Thailand,AREA # TH57,Chiang Mai,S1+W1,S1+W1,2,239.0819366
THA,Thailand,AREA # TH57,Chiang Mai,S3+C3,S3+C3,2,292.55502167
THA,Thailand,AREA # TH57,Chiang Mai,C1+W,C1+W,2,193.06039767
THA,Thailand,AREA # TH57,Chiang Mai,C3+C4,C3+C4,1,7243.968371
THA,Thailand,AREA # TH57,Chiang Mai,S3+W,S3+W,1,58.07851797
THA,Thailand,AREA # TH57,Chiang Mai,S4+W,S4+W,1,37.84992807
THA,Thailand,AREA # TH57,Chiang Mai,C2+W1,C2+W1,1,27.88112406
THA,Thailand,AREA # TH57,Chiang Mai,W1+S1,W1+S1,1,77.25392492
