ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,BUILDINGS,TOTAL_AREA_SQM
THA,Thailand,Agr,S/LF,S/LF/H:1/AGR1,28,5910.8020802
THA,Thailand,Agr,CR/LFINF,CR/LFINF/H:1/AGR1,17,7528.98476269
THA,Thailand,Agr,W,W/H:1/AGR1,11,904.480724
THA,Thailand,Agr,N/A,N/A/H:1/AGR1,9,1820.10498671
THA,Thailand,Agr,S/MF,S/MF/H:1/AGR1,8,1684.85065981
THA,Thailand,Agr,CR/MF,CR/MF/H:1/AGR1,6,3687.48235333
THA,Thailand,Agr,CR/LFINF,CR/LFINF/H:2-3/AGR1,3,736.1579818
THA,Thailand,Agr,S/BF,S/BF/H:1/AGR1,1,95.12811806
THA,Thailand,Agr,W,W/H:2-3/AGR1,1,272.8765498
THA,Thailand,Com,CR/LFINF,CR/LFINF/H:2-3/COM1,2904,2587152.92644849
THA,Thailand,Com,CR/LFINF,CR/LFINF/H:1/COM1,2433,534273.41151009
THA,Thailand,Com,CR/MF,CR/MF/H:1/COM10,1761,144116.787018963
THA,Thailand,Com,S/LF,S/LF/H:1/COM10,982,111736.318627378
THA,Thailand,Com,CR/LFINF,CR/LFINF/H:1/COM8,831,155400.037410742
THA,Thailand,Com,CR/LFINF,CR/LFINF/H:1/COM3,798,207336.711735909
THA,Thailand,Com,S/LF,S/LF/H:1/COM1,640,203403.378601162
THA,Thailand,Com,CR/LFINF,CR/LFINF/H:2-3/COM3,517,427409.41977727
THA,Thailand,Com,CR/LFINF,CR/LFINF/H:2-3/COM8,491,295174.2412717
THA,Thailand,Com,CR/MF,CR/MF/H:1/COM1,468,120237.73906623
THA,Thailand,Com,CR/LFINF,CR/LFINF/H:1/COM4,445,127881.65014384
THA,Thailand,Com,CR/LFINF,CR/LFINF/H:2-3/COM4,400,353000.56536657
THA,Thailand,Com,S/LF,S/LF/H:1/COM3,365,132040.499854074
THA,Thailand,Com,CR/LFINF,CR/LFINF/H:4-5/COM1,342,545494.71196017
